num;volume;mass;firm;TSS;TA;zs;theta;AE;color;dE2000;L1;A1;B1;C1;H1;WI_CIE1;L2;A2;B2;C2;H2;WI_CIE2
159;121,87;156,58;3,06;10;0,80;1,3138;-45,58;B;51,42;24,01;26,33;7,08;12,18;14,10;59,89;-13191,00;50,21;17,19;38,13;41,83;65,74;-23176,00
160;106,00;152,18;0,78;10,7;0,93;0,9691;-36,906;C;51,93;34,27;21,98;5,17;5,02;7,22;44,19;-6053,00;55,52;13,02;40,98;42,99;72,36;-23207,00
161;123,00;158,87;0,67;9,4;0,81;1,081;-39,857;B;56,895;20,07;22,98;5,86;4,55;7,42;37,79;-5241,00;41,13;18,20;26,42;32,07;55,43;-19139,00
162;122,83;150,17;1,24;9,6;0,73;1,1251;-38,115;C;49,875;38,27;22,78;8,35;5,62;10,05;33,97;-6473,00;60,06;11,02;39,74;41,24;74,49;-21077,00
163;116,34;157,64;0,45;10,4;0,94;0,8929;-35,966;A;59,315;18,19;21,53;8,43;4,61;9,61;28,68;-5450,00;38,39;18,24;24,60;30,62;53,44;-18801,00
164;116,62;158,15;0,43;9,9;0,57;0,8993;-35,088;B;56,99;24,81;21,12;2,59;3,49;4,34;53,53;-4316,00;43,60;18,34;30,79;35,85;59,22;-21131,00
165;119,27;151,56;0,50;10,6;0,98;0,9129;-35,47;B;55,35;22,39;23,39;3,10;4,13;5,16;53,17;-4769,00;43,55;18,88;25,01;31,34;52,95;-17302,00
166;121,91;149,31;0,60;10,5;0,72;1,2096;-39,413;A;57,11;16,72;23,89;2,85;3,49;4,50;50,84;-3911,00;38,02;14,51;17,21;22,52;49,87;-13610,00
167;126,56;153,62;2,58;11,2;0,87;1,0951;-45,47;B;59,19;11,96;25,64;4,18;2,51;4,88;30,91;-2468,00;31,97;14,87;12,76;19,59;40,64;-11428,00
168;132,12;161,75;2,48;10,5;0,87;1,2465;-46,04;A;55,245;16,17;26,05;12,27;5,80;13,58;25,30;-5894,00;41,29;18,88;22,42;29,31;49,89;-16211,00
169;134,35;157,87;2,31;11;0,64;1,2868;-46,055;B;52,165;30,62;23,05;7,87;4,35;8,99;28,97;-4902,00;53,09;18,70;33,82;38,64;61,06;-19595,00
170;116,67;153,94;0,39;10,7;0,67;1,0434;-38,251;B;53,32;29,72;22,68;2,89;-0,35;2,91;-302,37;847,00;49,21;13,21;32,88;35,44;68,11;-20983,00
171;121,36;155,83;1,23;11;0,83;1,0132;-40,33;C;47,045;25,85;32,46;15,93;15,28;22,07;43,80;-13480,00;54,35;11,94;44,12;45,71;74,86;-25387,00
172;128,78;150,58;1,94;10,8;0,98;1,0848;-40,26;C;53,5;18,57;27,07;8,54;5,26;10,02;31,69;-5296,00;43,24;18,53;26,37;32,23;54,91;-18363,00
173;118,31;149,38;1,07;10,8;0,98;1,177;-39,805;D;45,615;42,56;27,36;9,97;4,81;11,07;25,78;-4696,00;65,11;6,82;42,79;43,33;80,94;-21134,00
174;102,08;154,72;0,49;11,8;0,77;1,0864;-39,334;C;57,39;22,07;21,68;7,64;4,79;9,03;32,11;-5696,00;42,24;16,40;30,34;34,49;61,60;-21577,00
175;115,44;153,52;1,04;11,1;0,94;1,1235;-40,59;C;56,435;25,45;20,86;5,37;8,71;10,24;58,32;-11034,00;46,37;17,98;38,30;42,33;64,84;-24582,00
176;112,59;152,47;0,33;10,3;0,59;0,9318;-33,338;B;54,025;15,51;26,14;9,41;4,26;10,32;24,41;-4283,00;38,62;17,26;22,68;28,50;52,72;-17423,00
177;123,43;157,64;0,84;10,9;0,78;0,9099;-34,908;B;50,94;29,20;24,31;6,20;4,10;7,44;33,49;-4474,00;52,61;12,30;31,82;34,11;68,85;-19219,00
178;119,53;147,61;1,54;10,5;0,77;1,1887;-37,093;B;52,28;28,28;24,47;6,74;3,68;7,67;28,72;-3935,00;50,22;16,70;36,14;39,83;65,18;-22127,00
179;118,36;152,99;1,18;10,8;1,09;0,9485;-35,9;A;55,57;12,42;28,20;13,25;6,01;14,54;24,41;-5708,00;37,98;18,47;21,10;28,06;48,79;-16321,00
180;125,88;149,54;1,56;10,7;0,92;1,0749;-37,398;D;45,28;34,98;30,53;10,18;7,91;12,90;37,83;-7379,00;60,65;7,60;44,50;45,15;80,30;-23629,00
181;121,90;158,12;3,14;10,6;0,84;1,2941;-45,02;B;63,86;22,49;16,20;6,38;2,83;6,98;23,92;-3951,00;36,95;19,12;29,52;35,18;57,06;-22635,00
182;132,75;159,17;1,48;10,8;0,92;1,1832;-41,52;D;46,115;33,73;30,86;15,19;14,27;20,83;43,21;-13102,00;59,88;7,22;48,00;48,54;81,44;-25674,00
183;125,54;153,26;1,06;10,9;0,89;1,0986;-41,54;B;53,035;29,25;21,38;7,55;15,12;16,89;63,49;-18334,00;53,90;15,30;34,48;37,72;66,05;-20023,00
184;123,28;159,37;0,87;10,4;0,86;1,1587;-38,138;C;47,195;31,55;28,57;5,54;4,83;7,35;41,05;-4691,00;56,76;12,51;39,92;41,83;72,60;-22242,00
185;117,19;155,8;0,78;11,6;0,95;0,8202;-34,937;D;45,745;38,49;27,69;5,44;3,36;6,39;31,69;-3188,00;62,38;8,74;40,49;41,42;77,82;-20822,00
186;116,75;158,22;0,84;11,6;0,92;0,9413;-37,083;E;44,235;14,12;39,49;14,59;31,02;34,29;64,80;-23305,00;53,26;15,57;42,52;45,27;69,89;-24539,00
187;122,09;155,05;3,06;10,4;0,74;1,3578;-46,01;B;59,845;19,34;19,21;5,30;11,27;12,46;64,82;-14939,00;40,38;17,63;24,51;30,19;54,26;-18127,00
188;125,15;151,74;1,10;9,3;0,67;1,0646;-37,64;C;50,705;18,91;30,60;15,46;14,83;21,43;43,80;-13685,00;47,38;18,04;38,33;42,36;64,79;-24212,00
189;118,89;150,01;1,16;10,6;0,91;1,0079;-37,478;C;46,86;25,01;32,46;14,97;15,98;21,89;46,86;-14189,00;54,60;13,05;42,92;44,86;73,08;-24548,00
190;126,77;150,28;0,87;8,7;0,78;1,1001;-35,903;D;51,705;35,55;21,72;9,60;5,27;10,94;28,83;-6189,00;56,85;13,33;37,49;39,79;70,43;-20837,00
191;114,96;150,61;0,42;10,4;0,92;0,8303;-32,524;B;55,765;17,16;25,88;12,09;7,63;14,31;32,25;-7950,00;40,61;16,97;28,77;33,42;59,46;-21072,00
192;120,47;150,43;0,56;8,3;0,74;1,1301;-35,579;C;49,985;31,82;25,61;12,89;9,07;15,78;35,13;-9530,00;55,84;13,54;39,76;42,00;71,19;-22388,00
193;120,71;148,54;3,26;10,5;0,82;1,2962;-43,9;C;49,725;36,49;23,49;2,81;12,45;12,76;77,27;-14944,00;60,27;7,02;47,82;48,33;81,66;-25452,00
194;130,25;151,6;3,29;10,2;0,81;1,2739;-46,9;C;59,865;18,25;21,12;6,79;3,83;7,80;29,46;-4598,00;37,61;18,84;22,99;29,72;50,66;-17822,00
195;120,30;155,05;2,79;11,7;0,75;1,1958;-47,26;B;47,745;27,75;29,08;7,73;5,82;9,68;37,02;-5598,00;54,56;17,15;34,12;38,19;63,30;-19414,00
196;119,18;152,45;0,89;9,9;0,91;0,8863;-35,381;D;45,755;41,16;27,68;5,56;2,84;6,24;27,03;-2602,00;63,45;3,32;45,84;45,98;85,84;-23639,00
197;110,95;149,36;0,72;7,9;0,78;1,044;-37,412;C;48,61;24,96;29,70;12,07;8,79;14,94;36,04;-8332,00;52,40;16,46;35,39;39,03;65,04;-20948,00
198;121,98;148,48;3,59;9,2;0,81;1,3102;-41,92;C;49,515;17,94;29,23;8,99;6,18;10,90;34,55;-5899,00;47,77;13,72;18,43;22,97;53,35;-11872,00
199;110,82;146,51;1,00;11;0,86;0,9921;-37,64;B;55,185;12,90;28,95;11,03;7,64;13,41;34,66;-7367,00;37,70;17,67;25,88;31,34;55,67;-20032,00
200;127,94;157,1;3,41;10,9;0,81;1,3394;-41,93;A;51,94;23,00;26,14;8,55;9,00;12,41;46,45;-9622,00;48,82;18,85;32,38;37,47;59,78;-20210,00
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
